Theta,Fx,Fy,Fz
10,0.004504493,0.09771409799739307,0.1165286565195131
30,0.01608495,0.2472357468549437,0.15120180208103948
50,0.02625855,0.2810118407722271,0.12454915488960695
70,0.03314791,0.1833833384176845,0.0692287888084369
90,0.035573,3.4937428057985195e-17,8.87369797717206e-17
110,0.03314791,-0.1833833384176846,-0.06922878880843673
130,0.02625855,-0.2810118407722271,-0.12454915488960695
